obs,DATE,GDP,GDP_5MV,GDP_IR,GDP_SA
1960Q1,715509,49.06,NA,1.00093714399443,55.6667826220327
1960Q2,715600,67.98,NA,0.99661362366297,60.4768331316555
1960Q3,715691,61,64.06875,1.01292617053746,65.5708117047966
1960Q4,715783,71.79,67.585,0.986692425365876,66.7711124551192
1961Q1,715875,61.95,70.6925,1.00601485896991,71.2960493871814
1961Q2,715965,83.22,73.655,1.00202708512949,74.0993625413767
1961Q3,716056,70.62,76.755,0.996271909380222,75.9402067829598
1961Q4,716148,85.87,80.1225,1.00032452942551,79.6192574390745
1962Q1,716240,72.67,83.91625,0.999132951422866,84.0670461545307
1962Q2,716330,99.44,88.5675,1.00824868609796,88.5658901463525
1962Q3,716421,84.75,94.56375,0.991162030400011,91.4045498911715
1962Q4,716513,108.95,102.1225,0.99515569470856,100.739813171007
1963Q1,716605,97.56,111.4975,1.01573409432512,113.759332441059
1963Q2,716695,135.02,123.02,0.988084931303951,120.448715804815
1963Q3,716786,124.17,133.48625,1.00228570744198,133.795749673108
1963Q4,716878,161.71,145.25375,1.01016472002313,146.587157022515
1964Q1,716970,128.53,160.15,0.966001912613011,152.722466354269
1964Q2,717061,198.19,176.025,1.01062684927846,176.439746478698
1964Q3,717152,180.17,189.10875,0.995109700852133,189.386279616304
1964Q4,717244,232.71,197.0125,1.0659428453982,211.195955271167
1965Q1,717336,162.2,203.35,0.987209765346727,198.231643417777
1965Q2,717426,227.75,206.9025,1.00355134161417,202.68802637947
1965Q3,717517,201.31,212.30375,0.9956457055479,207.099650816866
1965Q4,717609,239.99,225.1775,0.999384053693859,221.451405755514
1966Q1,717701,198.13,242.27875,0.999103576362138,241.867094137808
1966Q2,717791,294.81,258.7325,1.00349218242796,262.611706255719
1966Q3,717882,271.06,272.23875,1.00189121119994,274.994764059246
1966Q4,717974,301.87,285.3925,0.997328435442931,282.772189351203
1967Q1,718066,244.3,301.20875,0.997983591727182,296.769435330106
1967Q2,718156,353.87,318.97875,1.00255201191962,317.495965389573
1967Q3,718247,338.53,339.135,1.00144260668602,337.295024753702
1967Q4,718339,376.56,363.6725,0.990374846456116,358.311420961999
1968Q1,718431,330.86,389.45,1.00312462942972,394.128143136734
1968Q2,718522,463.61,412.29875,1.00209006628817,420.084991858756
1968Q3,718613,435.01,431.2175,1.00431936883797,433.062358162272
1968Q4,718705,462.87,452.4325,0.98873660392912,439.448192785841
1969Q1,718797,395.9,485.4625,1.00421902929955,475.875553450304
1969Q2,718887,568.29,529.185,0.992746371371788,520.093914106195
1969Q3,718978,594.57,570.5125,1.00724139726004,581.963282066654
1969Q4,719070,653.09,606.25125,0.999532632960435,618.359513391147
1970Q1,719162,536.3,641.04375,1.00199051212951,643.120382070438
1970Q2,719252,713.8,678.18625,0.98012692814354,656.487457737799
1970Q3,719343,727.4,715.725,1.00111033287752,714.697896722269
1970Q4,719435,817.4,758.15,1.00134429641166,766.217653215598
1971Q1,719527,672.3,802.75,0.999108482633423,808.901550281297
1971Q2,719617,917.2,840.125,1.00312081016344,844.965163329763
1971Q3,719708,880.8,874.475,0.997341837328669,866.793930840309
1971Q4,719800,963,916.5125,1.00270589331726,902.57466194743
1972Q1,719892,801.5,969.7625,0.989721424429155,946.623515039853
1972Q2,719983,1124.3,1031.05,1.007956651706,1036.05889785149
1972Q3,720074,1099.7,1094.2,0.996763118951778,1092.45451112761
1972Q4,720166,1234.4,1159.25,1.00100416820852,1158.39785842496
1973Q1,720258,1035.3,1238.525,1.00329224904418,1225.75346940805
1973Q2,720348,1410.9,1330.175,0.991659358256802,1302.07266672774
1973Q3,720439,1447.3,1441.2625,1.00569945559077,1450.24329549096
1973Q4,720531,1620,1579.925,0.962940386172919,1530.7352052037
1974Q1,720623,1538.4,1722.5125,1.0401752864452,1797.60194687822
1974Q2,720713,2017.1,1879.65,0.99871782576837,1861.30882504258
1974Q3,720804,1981.8,2027.125,0.997865408087127,2009.34788897208
1974Q4,720896,2342.6,2176.4375,1.00338706213224,2187.25648704311
1975Q1,720988,1995.6,2352.9875,0.995570115237103,2345.80294401803
1975Q2,721078,2754.4,2531.825,1.01074940646789,2545.1863215567
1975Q3,721169,2656.9,2724.85,0.995200928729049,2667.94644929121
1975Q4,721261,3098.2,2954.525,0.998590555204948,2897.63811093252
1976Q1,721353,2784.2,3215.7125,0.998462655642002,3207.09618616694
1976Q2,721444,3803.2,3474.5625,1.00808831598805,3531.69570958616
1976Q3,721535,3697.6,3698,0.999455308368182,3702.10741028206
1976Q4,721627,4128.3,3899.1875,0.997668933463602,3863.57530495459
1977Q1,721719,3541.6,4137.4875,1.00208034216239,4096.41212704976
1977Q2,721809,4655.3,4449.6875,0.996796613762006,4367.35081179801
1977Q3,721900,4751.9,4784.9125,1.00045929045604,4758.94404090228
1977Q4,721992,5571.6,5144.7,1.01280025637285,5207.89837293291
1978Q1,722084,4780.1,5570.4625,0.994775003865776,5491.97953072465
1978Q2,722174,6295.1,6023.5,1.00048107031165,5970.17281070661
1978Q3,722265,6518.2,6478.3125,0.999964502557333,6484.47648502938
1978Q4,722357,7429.6,6935.975,1.00064659165528,6991.25055711147
1979Q1,722449,6560.6,7396.5625,1.0010022994122,7436.22887276406
1979Q2,722539,8175.9,7838.375,0.998518214218958,7826.67018684234
1979Q3,722630,8322.1,8257.125,0.99981464039083,8271.23884205297
1979Q4,722722,9160.2,8682.0125,1.00204896136988,8720.41858666176
1980Q1,722814,8180,9150.2125,0.998092311818089,9103.8092060175
1980Q2,722905,9955.6,9631.9,0.999814667857778,9593.85533587495
1980Q3,722996,10288,10118,1.00277259058862,10126.0244114531
1980Q4,723088,11047.8,10676.975,0.983400835638893,10475.3005627816
1981Q1,723180,10181.2,11308.7,1.00084000673764,11343.0237339501
1981Q2,723270,12426.2,11981.3,1.00134210436896,12060.6629925619
1981Q3,723361,12871.2,12589.75,0.999163302176275,12634.3976148092
1981Q4,723453,13845.4,13079.1,1.0008054868922,13154.2949474585
1982Q1,723545,12251.2,13533.8875,0.999150993522091,13566.3324692794
1982Q2,723635,14271,13986.3625,1.00310876623579,13960.6736656132
1982Q3,723726,14664.7,14526.4375,0.995986598989557,14270.4858459691
1982Q4,723818,15671.7,15140.7,0.99847738778593,15018.1775866581
1983Q1,723910,14745.5,15822.025,1.0175908866263,16137.3804825155
1983Q2,724000,16690.8,16539.1,0.995476798378722,16472.3371306163
1983Q3,724091,17695.5,17163.375,1.00403817284823,17185.576990758
1983Q4,724183,18377.5,17770.7375,0.997292912433969,17642.8056935036
1984Q1,724275,17033.9,18452.5375,1.00030939733158,18345.439058441
1984Q2,724366,19261.3,19138.4625,0.998702597067696,19142.6731320769
1984Q3,724457,20579.4,19703.5375,1.00181782337826,19960.9821726218
1984Q4,724549,20981,20209.8,1.00344988482643,20388.1616338621
1985Q1,724641,18951,20776.075,0.987960062565912,20373.6596256267
1985Q2,724731,21394.3,21442.8125,0.999874586838343,21348.0518611516
1985Q3,724822,22976.6,22218.95,1.00827739519444,22437.5647389642
1985Q4,724914,23917.7,23051.1625,0.994450685982404,22961.5614494374
1986Q1,725006,22223.4,23947.4375,1.00487789079636,24050.8898549141
1986Q2,725096,24779.6,24940.3,0.996009313401202,24794.4659682016
1986Q3,725187,26761.5,25939.9375,1.00270251025917,25945.428287708
1986Q4,725279,28075.7,27003.275,0.999619650365742,26903.9529336671
1987Q1,725371,26062.5,28128.7875,0.996913707842743,28022.5797218497
1987Q2,725461,29447.2,29361.0375,1.00548677463179,29514.4329710925
1987Q3,725552,31098,30832.8375,0.995779346163738,30411.1353861051
1987Q4,725644,33597.2,32253.375,1.0000306566613,31937.7303921398
1988Q1,725736,32315.4,33646.15,1.02038367095987,34139.2838754107
1988Q2,725827,34558.6,35209.175,0.996040460751759,34749.5038789733
1988Q3,725918,37128.8,36530.725,0.999960591716429,36495.9895654821
1988Q4,726010,40070.6,37651.5625,1.00267395100457,38095.8094933746
1989Q1,726102,36414.4,38829,0.999769736848898,38912.6681232421
1989Q2,726192,39426.3,40138.75,1.00062073626054,39671.2122248154
1989Q3,726283,41680.6,41734.6125,0.994786220457133,40974.0317043496
1989Q4,726375,45996.8,43650.6375,1.00762733415758,43921.6895340671
1990Q1,726467,43255.1,45971.7875,1.00098111462592,46038.8401221688
1990Q2,726557,47913.8,48330.0375,0.996000574374155,48137.6209114125
1990Q3,726648,51762.3,50575.325,1.00472485188144,50993.501654396
1990Q4,726740,54781.1,53040.85,0.997475389870657,52912.2531044866
1991Q1,726832,52433.1,55609.75,0.999739310454059,55465.5440960119
1991Q2,726922,58460,58289.8375,0.999911394403235,58401.1682368561
1991Q3,727013,61767.3,60874.4875,1.00037136126803,61269.9460610034
1991Q4,727105,66216.8,63251.725,1.00214877394793,63552.2177753941
1992Q1,727197,61674.6,65505.8375,0.996144134082521,65038.0866229934
1992Q2,727288,68236.4,67427.375,1.00984099970758,67802.5092184653
1992Q3,727379,70023.8,69239.3625,0.999479964702654,68775.7312953896
1992Q4,727471,73332.6,71269.425,0.997122587290825,70617.8553560675
1993Q1,727563,69054.7,73609.5,1.00172678634778,73785.5029368648
1993Q2,727653,77096.8,76180.225,1.00217876958436,76388.9968908259
1993Q3,727744,79884,79061.3875,0.997850733576608,78270.8962289023
1993Q4,727836,84038.2,82219.55,0.998045273026017,81535.5050254363
1994Q1,727928,81398.4,85627.6625,1.00731710996528,86351.9735196463
1994Q2,728018,90018.4,89467.0625,1.00003452122092,89271.2204970919
1994Q3,728109,94227.3,93302.5875,0.997426697641646,92637.5126509919
1994Q4,728201,100410.1,97164.875,1.00203760213655,97393.7045879992
1995Q1,728293,95710.7,101461.0875,0.998940948506355,101588.55271176
1995Q2,728383,106604.4,105457.925,0.999382483580577,105968.012439763
1995Q3,728474,112011,108949.0125,1.0035233623597,109811.246379086
1995Q4,728566,114601.1,112217.6,0.997167087493539,111505.677022264
1996Q1,728658,109448.4,115260.525,0.999950831527056,114689.501540869
1996Q2,728749,119015.4,118518.6375,0.998918563968356,118686.63099159
1996Q3,728840,123943.4,121471.45,1.00309022212659,122744.173379165
1996Q4,728932,128733.6,124148.325,1.00006220482444,124359.312287515
1997Q1,729024,118938.4,127194.7125,0.995469006500694,126179.113852834
1997Q2,729114,130940.4,130668.625,1.00391476085908,130955.991194787
1997Q3,729205,136389.5,133586.525,0.996655654790718,133620.679893427
1997Q4,729297,144078.8,134370.4,1.02602121719948,139100.213367157
