obs,DATE,DLGNI,DLM2,GNI,GNI_PC,LGNI,LM2,M2,M2_PC
1961Q3,716056,0.0207430306021248,0.264349236053596,77.45,2.09596625362511,4.34963256686288,3.56388296393925,35.3,30.2583025830258
1961Q4,716148,0.0325190599991556,0.117468223753894,80.01,3.30535829567462,4.38215162686203,3.68135118769314,39.7,12.4645892351275
1962Q1,716240,0.0809940590966409,0.0563184305902236,86.76,8.43644544431945,4.46314568595867,3.73766961828337,42,5.79345088161207
1962Q2,716330,0.043529253280318,0.123060092757227,90.62,4.44905486399263,4.50667493923899,3.8607297110406,47.5,13.0952380952381
1962Q3,716421,0.00385484259497915,0.118951942861365,90.97,0.386228205694095,4.51052978183397,3.97968165390196,53.5,12.6315789473684
1962Q4,716513,0.110710584331615,-0.0736767207993778,101.62,11.7071562053424,4.62124036616559,3.90600493310258,49.7,-7.10280373831775
1963Q1,716605,0.147493203687871,0.00601807232556295,117.77,15.8925408384176,4.76873356985346,3.91202300542815,50,0.603621730382287
1963Q2,716695,0.0368436404749737,0.0392207131532816,122.19,3.75307803345504,4.80557721032843,3.95124371858143,52,4
1963Q3,716786,0.105679639787546,0.0988005847440934,135.81,11.146575006138,4.91125685011598,4.05004430332552,57.4,10.3846153846154
1963Q4,716878,0.0812823597108707,-0.0703626494235601,147.31,8.46771224504823,4.99253920982685,3.97968165390196,53.5,-6.79442508710801
1964Q1,716970,0.0826346054069793,0.0330912546263282,160,8.61448645713121,5.07517381523383,4.01277290852829,55.3,3.36448598130841
1964Q2,717061,0.112211990606928,0.0424842649857649,179,11.875,5.18738580584075,4.05525717351405,57.7,4.33996383363473
1964Q3,717152,0.0945480814567574,0.0718772115310378,196.75,9.91620111731844,5.28193388729751,4.12713438504509,62,7.4523396880416
1964Q4,717244,0.0731418130691335,-0.00485045413374952,211.68,7.58831003811944,5.35507570036665,4.12228393091134,61.7,-0.483870967741928
1965Q1,717336,-0.0552594576948735,0.0474772705955129,200.3,-5.37603930461074,5.29981624267177,4.16976120150686,64.7,4.86223662884928
1965Q2,717426,0.0323226723517749,0.108292842784048,206.88,3.28507239141287,5.33213891502355,4.2780540442909,72.1,11.4374034003091
1965Q3,717517,0.0212819777505135,0.10146946016486,211.33,2.15100541376645,5.35342089277406,4.37952350445576,79.8,10.6796116504854
1965Q4,717609,0.0600984034626597,0.160574684788613,224.42,6.19410400794964,5.41351929623672,4.54009818924438,93.7,17.4185463659148
1966Q1,717701,0.0880653916207335,0.0917139276901366,245.08,9.20595312360753,5.50158468785745,4.63181211693451,102.7,9.60512273212379
1966Q2,717791,0.101566809959929,0.103508753518624,271.28,10.6903868124694,5.60315149781738,4.73532087045314,113.9,10.9055501460565
1966Q3,717882,0.0379751268077468,0.119829520802724,281.78,3.87053966381599,5.64112662462513,4.85515039125586,128.4,12.7304653204565
1966Q4,717974,0.0285128899083702,0.1006766663454,289.93,2.89232734757614,5.6696395145335,4.95582705760126,142,10.5919003115265
1967Q1,718066,0.046137404971069,0.111818491211775,303.62,4.72182940709827,5.71577691950457,5.06764554881304,158.8,11.830985915493
1967Q2,718156,0.088242970110687,0.13085148245279,331.63,9.22534747381596,5.80401988961526,5.19849703126583,181,13.9798488664987
1967Q3,718247,0.0505648078953032,0.120602874464739,348.83,5.18650303048578,5.85458469751056,5.31909990573056,204.2,12.8176795580111
1967Q4,718339,0.0525195009793489,0.115058683728885,367.64,5.39231144110313,5.90710419848991,5.43415858945945,229.1,12.1939275220372
1968Q1,718431,0.108491828193002,0.128444271733971,409.77,11.4595800239365,6.01559602668291,5.56260286119342,260.5,13.7058053251855
1968Q2,718522,0.057724966894904,0.15836443821688,434.12,5.94235790809479,6.07332099357781,5.7209672994103,305.2,17.1593090211132
1968Q3,718613,0.0113150844179621,0.151713711707713,439.06,1.13793421173869,6.08463607799578,5.87268101111801,355.2,16.3826998689384
1968Q4,718705,0.0328441896950649,0.103669898179919,453.72,3.33895139616454,6.11748026769084,5.97635090929793,394,10.9234234234234
1969Q1,718797,0.0701471023995754,0.0950794194479299,486.69,7.26659613858767,6.18762737009042,6.07143032874586,433.3,9.97461928934012
1969Q2,718887,0.0968798557114416,0.114572512665993,536.2,10.1727999342497,6.28450722580186,6.18600284141186,485.9,12.1393953381029
1969Q3,718978,0.112289087191275,0.158931518685909,599.92,11.8836255128683,6.39679631299313,6.34493436009777,569.6,17.2257666186458
1969Q4,719070,0.0711042560935917,0.0678686442746708,644.13,7.36931590878784,6.46790056908673,6.41280300437244,609.6,7.02247191011236
1970Q1,719162,0.0217601853871052,-0.00724402245823619,658.3,2.19986648657879,6.48966075447383,6.4055589819142,605.2,-0.721784776902878
1970Q2,719252,0.0141782163899924,0.0612076328907252,667.7,1.42792040103297,6.50383897086382,6.46676661480493,643.4,6.31196298744217
1970Q3,719343,0.0886574678962981,0.0825979634549752,729.6,9.27063052268984,6.59249643876012,6.5493645782599,698.8,8.61050668324526
1970Q4,719435,0.0758588663882831,0.0859255940753156,787.1,7.88103070175439,6.6683553051484,6.63529017233522,761.5,8.97252432741844
1971Q1,719527,0.0386292733712486,0.0481959220452008,818.1,3.93850844873587,6.70698457851965,6.68348609438042,799.1,4.93762311227841
1971Q2,719617,0.0431807798877131,0.0619855215442726,854.2,4.41266348857108,6.75016535840737,6.74547161592469,850.2,6.39469403078463
1971Q3,719708,0.0199357552759754,0.0896054375594613,871.4,2.01357995785529,6.77010111368334,6.83507705348415,929.9,9.37426487885202
1971Q4,719800,0.0469633000142915,0.0575645876879376,913.3,4.80835437227449,6.81706441369763,6.89264164117209,985,5.92536831917412
1972Q1,719892,0.0535080741567882,0.0441868852957548,963.5,5.49655096901347,6.87057248785442,6.93682852646784,1029.5,4.51776649746194
1972Q2,719983,0.075633977501969,0.062685177753834,1039.2,7.85677218474312,6.94620646535639,6.99951370422168,1096.1,6.46915978630402
1972Q3,720074,0.0499259242431602,0.113465524771718,1092.4,5.11932255581218,6.99613238959955,7.1129792289934,1227.8,12.0153270686981
1972Q4,720166,0.0697371324762788,0.0692208956585016,1171.3,7.22262907359941,7.06586952207583,7.1822001246519,1315.8,7.16729108975402
1973Q1,720258,0.048899926290634,0.083928654904553,1230,5.01152565525484,7.11476944836646,7.26612877955645,1431,8.75512995896033
1973Q2,720348,0.0620965174820194,0.0523444538152997,1308.8,6.40650406504064,7.17686596584848,7.31847323337175,1507.9,5.37386443046821
1973Q3,720439,0.0981678398565782,0.0901179377470092,1443.8,10.3147921760391,7.27503380570506,7.40859117111876,1650.1,9.4303335764971
1973Q4,720531,0.0599480731667539,0.0817148670812964,1533,6.17814101676133,7.33498187887181,7.49030603820006,1790.6,8.51463547663778
1974Q1,720623,0.173092318359074,0.0166153578711326,1822.7,18.897586431833,7.50807419723089,7.50692139607119,1820.6,1.67541606165531
1974Q2,720713,0.0279696899626973,0.0213028379729083,1874.4,2.83645141822571,7.53604388719359,7.5282242340441,1859.8,2.15313632868286
1974Q3,720804,0.059293113875615,0.107417759301883,1988.9,6.10862142552284,7.5953370010692,7.63564199334598,2070.7,11.3399290246263
1974Q4,720896,0.108482992479568,0.0493258413137703,2216.8,11.4585952033788,7.70381999354877,7.68496783465975,2175.4,5.05626116772107
1975Q1,720988,0.0495460091197826,0.0400972675027553,2329.4,5.07939372067845,7.75336600266855,7.7250651021625,2264.4,4.09120161809322
1975Q2,721078,0.0864352401322472,0.0677378889538556,2539.7,9.02807589937322,7.8398012428008,7.79280299111636,2423.1,7.0084790673026
1975Q3,721169,0.0431926908798195,0.0868669234879285,2651.8,4.41390715438832,7.88299393368062,7.87966991460429,2643,9.07515166522224
1975Q4,721261,0.0863983978447331,0.0299297446046607,2891.1,9.02405912964777,7.96939233152535,7.90959965920895,2723.3,3.03821415058647
1976Q1,721353,0.10522560980634,0.042170917238078,3211.9,11.0961225830999,8.07461794133169,7.95177057644703,2840.6,4.30727426284288
1976Q2,721444,0.0964162478737887,0.0281161139536215,3537,10.1217347987173,8.17103418920548,7.97988669040065,2921.6,2.85151024431458
1976Q3,721535,0.045675337921768,0.109166243868206,3702.3,4.67345207803223,8.21670952712725,8.08905293426885,3258.6,11.5347754654983
1976Q4,721627,0.0488634749822303,0.121560747591138,3887.7,5.00769791751072,8.26557300210948,8.21061368185999,3679.8,12.9257963542626
1977Q1,721719,0.0542662096788415,0.0401108335036611,4104.5,5.57656197751886,8.31983921178832,8.25072451536365,3830.4,4.092613729007
1977Q2,721809,0.0650561116132842,0.0797534813519256,4380.4,6.72189060786941,8.3848953234016,8.33047799671558,4148.4,8.30200501253131
1977Q3,721900,0.0825192154514856,0.124179998899551,4757.2,8.6019541594375,8.46741453885309,8.45465799561513,4696.9,13.2219650949764
1977Q4,721992,0.0908438175150774,0.0932001821119002,5209.6,9.50979567813,8.55825835636817,8.54785817772703,5155.7,9.76814494666696
1978Q1,722084,0.0601547904049831,0.0508596996133832,5532.6,6.20009213759214,8.61841314677315,8.59871787734041,5424.7,5.21752623310123
1978Q2,722174,0.0787154234440717,0.0335524699169429,5985.7,8.18963959078913,8.69712857021722,8.63227034725736,5609.8,3.41217025826315
1978Q3,722265,0.0871714679773365,0.12059557644983,6530.9,9.10837496032211,8.78430003819456,8.75286592370719,6328.8,12.8168562159079
1978Q4,722357,0.072218458825299,0.0981961184601481,7020,7.48901376533098,8.85651849701986,8.85106204216734,6981.8,10.3179117684237
1979Q1,722449,0.0610736579043625,0.00194602699996516,7462.1,6.2977207977208,8.91759215492422,8.8530080691673,6995.4,0.194792173937941
1979Q2,722539,0.046131309552111,0.0493250665625027,7814.4,4.72119108561933,8.96372346447633,8.9023331357298,7349.1,5.0561797752809
1979Q3,722630,0.0542692569827956,0.0774235758344748,8250.2,5.57688370188372,9.01799272145913,8.97975671156428,7940.7,8.0499653018737
1979Q4,722722,0.0417805420211508,0.131713150146156,8602.2,4.26656323483068,9.05977326348028,9.11146986171043,9058.6,14.078103945496
1980Q1,722814,0.0475150374395152,0.0935865748343705,9020.8,4.86619701936712,9.10728830091979,9.2050564365448,9947.3,9.81056675424457
1980Q2,722905,0.0471587390158508,0.0447353911923063,9456.4,4.82884001418944,9.15444703993564,9.24979182773711,10402.4,4.5751108340957
1980Q3,722996,0.0607316086807881,0.103366681255327,10048.5,6.26136796243815,9.21517864861643,9.35315850899244,11535.2,10.8897946627701
1980Q4,723088,0.0494226100861876,0.126246705278461,10557.6,5.06642782504851,9.26460125870262,9.4794052142709,13087.4,13.4562036202233
1981Q1,723180,0.048160313372712,0.0558552097618676,11078.5,4.93388648935364,9.31276157207533,9.53526042403277,13839.2,5.74445650014519
1981Q2,723270,0.0717337673617457,0.067696195182668,11902.4,7.43692738186577,9.38449533943708,9.60295661921544,14808.5,7.00401757327012
1981Q3,723361,0.0472350473063656,0.0738247935174883,12478.1,4.8368396289824,9.43173038674344,9.67678141273292,15943.1,7.66181584900565
1981Q4,723453,0.0515641322799087,0.110964144805502,13138.4,5.29167100760533,9.48329451902335,9.78774555753843,17814.1,11.7354843160991
1982Q1,723545,0.0174666716131036,0.0669508308277713,13369.9,1.7620105948974,9.50076119063645,9.8546963883662,19047.6,6.92429030936168
1982Q2,723635,0.0395158216883456,0.0872375391392293,13908.8,4.03069581672264,9.5402770123248,9.94193392750543,20783.9,9.11558411558413
1982Q3,723726,0.0245579282985648,0.0942296519342491,14254.6,2.48619578971587,9.56483494062337,10.0361635794397,22837.6,9.88120612589551
1982Q4,723818,0.0352408066580363,0.0667361496831145,14765.9,3.58691229497845,9.6000757472814,10.1028997291228,24413.7,6.90133814411322
1983Q1,723910,0.0755069368388064,0.0193859470173106,15924,7.84307085920939,9.67558268412021,10.1222856761401,24891.6,1.95750746507084
1983Q2,724000,0.018140169791808,0.0658656483582867,16215.5,1.83057020849033,9.69372285391202,10.1881513244984,26586.3,6.80832087933279
1983Q3,724091,0.0533740118535064,0.0607505080117186,17104.5,5.48240880638895,9.74709686576552,10.2489018325101,28251.5,6.26337625017397
1983Q4,724183,0.0221676264276773,0.0602741365323443,17487.9,2.24151539068667,9.7692644921932,10.3091759690424,30006.7,6.2127674636745
1984Q1,724275,0.0421954868862553,0.0377979677693734,18241.6,4.30983708735753,9.81145997907945,10.3469739368118,31162.6,3.85213968880282
1984Q2,724366,0.0336089541265334,0.0379917849132596,18865.1,3.41801157793176,9.84506893320599,10.3849657217251,32369.3,3.8722699646371
1984Q3,724457,0.0435029314698543,0.0560234647869589,19703.9,4.44630561195012,9.88857186467584,10.440989186512,34234.5,5.76225003321049
1984Q4,724549,0.00811259924054575,0.0420400229608386,19864.4,0.814559554199934,9.89668446391639,10.4830292094729,35704.4,4.29362193109291
1985Q1,724641,0.00969889173176597,0.0172240201565508,20058,0.974607841163078,9.90638335564815,10.5002532296294,36324.7,1.73732089042247
1985Q2,724731,0.0388457684676133,0.0405463314030658,20852.5,3.96101306211984,9.94522912411577,10.5407995610325,37827.8,4.13795571608302
1985Q3,724822,0.0469558831816475,0.0528156177946926,21855,4.80757702913319,9.99218500729742,10.5936151788272,39879.4,5.42352449785608
1985Q4,724914,0.0293477687430812,0.0556475825027736,22505.9,2.97826584305652,10.0215327760405,10.64926276133,42161.5,5.72250334759299
1986Q1,725006,0.035165014245834,0.0674102402499273,23311.4,3.57906149054248,10.0566977902863,10.7166730015799,45101.6,6.97342362107609
1986Q2,725096,0.0337961613463396,0.0510264168043317,24112.7,3.43737398869222,10.0904939516327,10.7676994183842,47462.7,5.23506926583535
1986Q3,725187,0.0597169507381246,0.0640607951515531,25596.5,6.15360370261315,10.1502109023708,10.8317602135358,50602.7,6.61572139806628
1986Q4,725279,0.037067411276162,0.0763951814919217,26563.1,3.77629754067939,10.187278313647,10.9081553950277,54620,7.9389044458102
1987Q1,725371,0.0365412050194784,0.0609889985274048,27551.7,3.72170416856468,10.2238195186664,10.9691443935551,58054.9,6.28872207982425
1987Q2,725461,0.0554159271897081,0.0817948169571814,29121.6,5.69801500451876,10.2792354458561,11.0509392105123,63003.1,8.52331155509698
1987Q3,725552,0.0380755199647744,0.0575860791075513,30251.8,3.88096807867699,10.3173109658209,11.1085252896198,66737.7,5.92764483017503
1987Q4,725644,0.0485921240730658,0.0641749048998701,31758.1,4.97920784878916,10.365903089894,11.1727001945197,71161,6.62788798535161
1988Q1,725736,0.0711349105135266,0.067262338004765,34099.5,7.37260730333364,10.4370380004075,11.2399625325245,76112.1,6.95760318151797
1988Q2,725827,0.0113171177151319,0.0635053002361126,34487.6,1.1381398554231,10.4483551181226,11.3034678327606,81102.4,6.55651335333014
1988Q3,725918,0.049453260666537,0.0767761640112958,36236,5.06964822138971,10.4978083787892,11.3802439967719,87574.4,7.98003511610015
1988Q4,726010,0.0489846374496778,0.0534943111036892,38055.2,5.02042168009713,10.5467930162389,11.4337383078756,92386.7,5.49509902437242
1989Q1,726102,0.0120126349358554,0.0417157929378025,38515.1,1.20850764153124,10.5588056511747,11.4754541008134,96322.2,4.2598122889983
1989Q2,726192,0.0268035232178541,0.0302735217294678,39561.4,2.71659686720274,10.5856091743926,11.5057276225428,99282.8,3.073642420958
1989Q3,726283,0.0343123054786965,0.0626883661115372,40942.4,3.49077636281829,10.6199214798713,11.5684159886544,105705.9,6.46949924861102
1989Q4,726375,0.0704722305363994,0.094688278670688,43931.8,7.3014771972332,10.6903937104077,11.6631042673251,116204.2,9.931612142747
1990Q1,726467,0.0453092462354263,0.0567605674841083,45968.1,4.63513901092147,10.7357029566431,11.7198648348092,122990.8,5.8402364114206
1990Q2,726557,0.0421673270890022,0.0396441073421236,47947.9,4.30689978485082,10.7778702837321,11.7595089421513,127964.6,4.04404231861246
1990Q3,726648,0.0592016006431848,0.0521253267947852,50872.2,6.09891152688646,10.8370718843753,11.8116342689461,134811.7,5.35077669918087
1990Q4,726740,0.0339031897661339,0.0770095575636738,52626.5,3.4484453198407,10.8709750741414,11.8886438265098,145603.7,8.00523990128452
1991Q1,726832,0.0571426844205867,0.036798491137592,55721.3,5.88068748634243,10.928117758562,11.9254423176473,151061.5,3.74839375647733
